test_name,phase,idx,hw_re,hw_im
allones_n16,fft,13,64'h3fffffffffffffff,64'h3fea827999fcef30
allones_n16,fft,14,64'hc00037fdc4848ee1,64'hc0101bfee2424772
allones_n16,fft,15,64'h4009975f5e055315,64'h3ff32ebebc0aa62c
allones_n16,ifft,0,64'h3ff0000000000000,64'h0000000000000000
allones_n16,ifft,1,64'h3ff0000000000000,64'h0000000000000000
allones_n16,ifft,2,64'h3fe61f78a9abaa5a,64'hbfc87de2a6aea962
allones_n16,ifft,3,64'h3ff20bace91ea4ed,64'h3fdd906bcf328d44
allones_n16,ifft,4,64'h3ff3504f333f9de6,64'hbfca827999fcef31
allones_n16,ifft,5,64'h3fe0000000000000,64'hbfdffffffffffffe
allones_n16,ifft,6,64'h3fed0f46125efbd1,64'h3fc87de2a6aea962
allones_n16,ifft,7,64'h3feec835e79946a3,64'h3fdd906bcf328d43
allones_n16,ifft,8,64'h3ff0000000000000,64'h0000000000000000
allones_n16,ifft,9,64'h3ff0000000000000,64'h0000000000000000
allones_n16,ifft,10,64'h3feec835e79946a3,64'h3fb44a24a20f8f8c
allones_n16,ifft,11,64'h3ff04092de69c8ba,64'hbfc87de2a6aea962
allones_n16,ifft,12,64'h3fe0000000000000,64'h3fe0000000000000
allones_n16,ifft,13,64'hbfca827999fcef2e,64'hbff3504f333f9de6
allones_n16,ifft,14,64'h3fd04f2f023415b0,64'hbfdd906bcf328d44
allones_n16,ifft,15,64'h3fe61f78a9abaa5a,64'hbff1d7f23c6f1bd0
